Item Number;Item Description;Bottle Volume (ml);Category;Vendor Number
37418;POPOV VODKA 80 PRF;1750;1031080;260
64722;CIROC PEACH;200;1032200;260
87250;CABO WABO BLANCO;750;1022100;461
89016;CASA NOBLE ANEJO;750;1022100;115
89198;JOSE CUERVO ESPECIAL REPOSADO TEQUILA;1750;1022100;395
82626;DEKUYPER CHERRY PUCKER SCHNAPPS;750;1081380;65
23826;FIVE STAR;750;1011100;297
87938;JUAREZ TEQUILA SILVER;1750;1022100;434
84456;PARAMOUNT PEACH SCHNAPPS;750;1081330;434
30056;FLEISCHMANN'S GIN;750;1041100;55
40599;NEW AMSTERDAM RED BERRY;750;1031200;205
58838;JOSE CUERVO AUTHENTIC LIME MARGARITA;1750;1071100;395
28890;TANQUERAY RANGPUR GIN;750;1042100;260
27474;BIRD DOG BLACKBERRY WHISKEY;750;1011100;492
38178;TITOS HANDMADE VODKA;1750;1031080;301
68022;BAILEY'S SALTED CARAMEL;750;1081200;260
26828;JACK DANIELS OLD #7 BLACK LBL;1750;1011300;85
73050;RUMCHATA;750;1081200;305
76042;MIDNIGHT MOON BLACKBERRY;750;1081700;384
82836;DEKUYPER RASPBERRY PUCKER;750;1081335;65
33717;PARAMOUNT SLOE GIN;1000;1041200;434
34188;EFFEN VODKA;750;1032080;65
86881;SOUTHERN COMFORT MINI;500;1081600;85
19064;JIM BEAM;375;1011200;65
54646;ARROW BLACKBERRY FLAV BRANDY;750;1051110;434
43022;ADMIRAL NELSON SPICED RUM MINI;500;1062310;259
5006;GLENFIDDICH 12YR SPECIAL RESERVE;750;1012210;240
64858;FIREBALL CINNAMON WHISKEY MINI DISPENSER;3000;1081600;421
67273;YUKON JACK JACAPPLE;750;1011100;260
75208;KINKY LIQUEUR MINI;500;1081900;322
68034;BAILEY'S ORIGINAL IRISH CREAM;375;1081200;260
34008;ABSOLUT SWEDISH VODKA 80 PRF;1750;1032080;370
64590;CANADIAN CLUB DOCK 57 MINI;500;1012100;65
5492;MACALLAN FINE OAK 10 YEAR;750;1012210;305
4096;ARDBEG 10 YR ISLAY SINGLE MALT SCOTCH;750;1012210;420
80571;ARROW PEPPERMINT SCHNAPPS MINI;500;1081300;434
35147;THREE OLIVES MANGO FLAVORED VODKA;750;1032200;395
88556;SAUZA BLANCO SILVER;750;1022100;65
19476;MAKER'S MARK;750;1011200;65
28246;BOODLES BRITISH GIN LONDON DRY;750;1042100;395
42712;MALIBU COCONUT RUM MINI;500;1062300;370
34003;ABSOLUT SWEDISH VODKA 80 PRF;200;1032080;370
5037;GLENLIVET 12 YR MALT SCOTCH;1000;1012210;370
37426;POPOV VODKA 80 PRF TRAVELER;750;1031080;260
82786;DEKUYPER BUTTERSHOTS SCHNAPPS;750;1081312;65
35183;PEARL PLUM;750;1032200;434
45277;PARAMOUNT WHITE RUM;1000;1062200;434
52312;CHRISTIAN BROS BRANDY;200;1051010;259
36186;GORDON'S VODKA 80 PRF;750;1031080;260
56850;BACARDI PARTY DRINKS BAHAMA MAMA;1750;1071100;35
17090;BULLEIT BOURBON 10YR;750;1011200;260
48106;HENNESSY VS COGNAC;750;1052010;420
26824;JACK DANIELS OLD #7 BLACK LBL SQUARE;375;1011300;85
15247;WINDSOR CANADIAN;1000;1012100;65
37413;POPOV VODKA 80 PRF;200;1031080;260
45245;PARAMOUNT GOLD RUM TRAVELER;750;1062200;434
80574;ARROW PEPPERMINT SCHNAPPS;375;1081300;434
20248;OLD CROW;1750;1011200;65
43282;CAPTAIN MORGAN PARROT BAY PINEAPPLE;750;1062300;260
